12 februari - 18 februari 2024
"(89, ' Kg')",Ost
3 för69,Matpaj
19,Bröd
"(19, ' Kg')",Apelsiner
2 för25,Läsk
20,Vaniljyoghurt
29,Rapsolja
89,Kycklingbröstfiléer
24,Plommontomater
19,Ekologiska morötter
119,Tulpaner 15-pack
39,Färska jordgubbar
149,Alla Hjärtans dag-bukett
12,Aubergine
"(39, ' Kg')",Äpple Pink Lady
26,Smörgåspålägg
26,Pizzakit
24,Kycklingspett
59,Strömming
"(129, ' Kg')",Svartrökt bog
"(299, ' Kg')",Serranoskinka
35,Tortellini
2 för35,Ekologisk leverpastej
"(199, ' Kg')",Kokt skinka
15,Färska lasagneplattor
49,Chokladfondant 2-pack
30,Kycklingstekkorv
44,Salsicciafärs
79,Strimlad kyckling
49,Entrecote
55,Nötfärs Rulle Naturbeteskött
"(89, ' Kg')",Fläskschnitzel
39,Strimlad Fläskytterfilé
74,Högrevsfärs
"(159, ' Kg')",Rostbiff
"(329, ' Kg')",Lammytterfilé
2 för40,Laktosfri mjölkdryck
22,Smör- och rapsolja
2 för25,Smaksatt lätt crème fraiche
24,Grädde
15,Kakor
3 för25,Vaniljhjärtan
26,Bröd
15,Grissini
30,Italiensk hårdost - Grana Padano
"(129, ' Kg')",Maasdamer
44,Skivad ost
"(319, ' Kg')",Ekologisk Blå Kornblomst
30,Ekologisk grillost
31,Chokladdryckspulver
2 för69,Färdigrätter
55,Bistropytt
25,Ekologiska Hallon
99,Torskryggfilé
25,Potatisbullar
40,Ekologiska Hamburgare 4-pack
15,Rostad lök
2 för30,Fruktstänger
50,Ekologiskt basmatiris
35,Rårörda lingon
2 för24,Läsk
20,Ekologisk chokladkaka
59,Chokladask
3 för45,Ekologisk barnmat
15,Bakplåtspapper
40,Fläckborttagningspulver
15,Ansiktsservetter
25,Flytande Tvål Refill
25%rabatt,Matlåda
129,Måttkanna
49,Doftpinnar/Doftspridare
29,Vattenflaska
2 för179,Mopp och hink
24,Mugg
2 för79,Kaffe
399,Brödform/Springform
