19 februari - 25 februari 2024
2 för79,Kaffe
4 för99,Toalett-/Hushållspapper
"(59, ' Kg')",Färsk Fläskytterfilé
39,Smör
12,Gurka
3 för35,Tex mex
2 för45,Snacks
4 för99,Färdigrätter
3 för30,Risifrutti/Mannafrutti
2990/a,Färska hallon/blåbär i ask
69,Engelsk pelargon
17,Utvald potatis i påse
"(34, ' Kg')",Clementiner
32,Färdig kimchisallad i påse
22,Ekologisk palsternacka
1890/a,Champinjoner
19,Ätmogen mango
54,Korv
24,Kall sås
30,Kycklingstekkorv
2 för39,Salami
24,Smörgåspålägg
15,Färska lasagneplattor
"(299, ' Kg')",Serrano
"(299, ' Kg')",Grillad rostbiff
35,Tortellini
"(229, ' Kg')",Delikatessmedwurst
59,Köttbullar
"(89, ' Kg')",Potatissallad
"(249, ' Kg')",Källarrökt skinka
50,Ribs BBQ
109,Stekfläsk
39,Kyckling Lagat & klart
"(69, ' Kg')",Grytbitar av fläsk
"(349, ' Kg')",Färsk oxfilé
54,Ekologisk blandfärs i rulle
"(79, ' Kg')",Färsk fläskkarré
3 för35,Drickyoghurt
37,Juice/Lemonad/Smoothie
2 för22,Chokladmjölkdryck Pucko
21,Lätta
10,Gräddfil
2 för36,Kakor
19,Hårt bröd
20,Bondlimpa
2 för49,Dessertost
29,Mjukost
80,Skivad ost
30,Italiensk hårdost - Grana Padano
"(279, ' Kg')",Cambozola Classic
"(379, ' Kg')",Black Cheddar
3 för39,Pan pizza/Piroger
2 för30,Glass/sorbet
34,Vårrullar
55,Kycklingnuggets
29,Vegetariskt
25,Wokmix
119,Stora räkor med skal
55,Vegofärs
40,Ekologiska Hamburgare 4-pack
2 för30,Soppa
2 för15,Muslibar
20,Ekologiska kryddor
32,Frukostflingor
29,Ketchup
30,Valnötter
2 för20,Krossade tomater
35,Nötkräm
2 för32,Läsk
66,Öl 6-pack
3 för30,Mineral-/kolsyrat vatten
10,Dryck med ciderkaraktär
3 för20,Dubbla stycksaker
2 för39,Chokladkakor
2 för18,Dippmix
20,Nötter
39,Våtservetter 2-pack
123,Blöjor
5 för55,Ätklar klämmis
99,Maskindisktabletter
40,Tvättmedel
2 för49,Tandkräm
2 för39,Deodorant/Duschcreme
55,Brustabletter
25,Flytande Tvål Refill
1000/p,Fingervantar
99,Sockor 8-pack
2 för25,Glasögonservetter 20-pack
99,Guinness World Records
79,Parasiten
79,Laddkabel 3A
49,Bamse Boken om vargen
39,Sittunderlag
15,Läsglasögon
79,Atlas: Historien Om Pa Salt
