col1,col2
149,Alla Hjärtans dag-bukett
15,Ansiktsservetter
"(19, ' Kg')",Apelsiner
79,Atlas: Historien Om Pa Salt
12,Aubergine
15,Bakplåtspapper
49,Bamse Boken om vargen
55,Bistropytt
"(379, ' Kg')",Black Cheddar
123,Blöjor
20,Bondlimpa
55,Brustabletter
19,Bröd
26,Bröd
399,Brödform/Springform
"(279, ' Kg')",Cambozola Classic
1890/a,Champinjoner
59,Chokladask
31,Chokladdryckspulver
49,Chokladfondant 2-pack
2 för39,Chokladkakor
2 för22,Chokladmjölkdryck Pucko
"(34, ' Kg')",Clementiner
"(229, ' Kg')",Delikatessmedwurst
2 för39,Deodorant/Duschcreme
2 för49,Dessertost
2 för18,Dippmix
49,Doftpinnar/Doftspridare
3 för35,Drickyoghurt
10,Dryck med ciderkaraktär
3 för20,Dubbla stycksaker
"(319, ' Kg')",Ekologisk Blå Kornblomst
3 för45,Ekologisk barnmat
54,Ekologisk blandfärs i rulle
20,Ekologisk chokladkaka
30,Ekologisk grillost
2 för35,Ekologisk leverpastej
22,Ekologisk palsternacka
25,Ekologiska Hallon
40,Ekologiska Hamburgare 4-pack
40,Ekologiska Hamburgare 4-pack
20,Ekologiska kryddor
19,Ekologiska morötter
50,Ekologiskt basmatiris
69,Engelsk pelargon
49,Entrecote
1000/p,Fingervantar
25,Flytande Tvål Refill
25,Flytande Tvål Refill
40,Fläckborttagningspulver
"(89, ' Kg')",Fläskschnitzel
32,Frukostflingor
2 för30,Fruktstänger
32,Färdig kimchisallad i påse
4 för99,Färdigrätter
2 för69,Färdigrätter
"(59, ' Kg')",Färsk Fläskytterfilé
"(79, ' Kg')",Färsk fläskkarré
"(349, ' Kg')",Färsk oxfilé
2990/a,Färska hallon/blåbär i ask
39,Färska jordgubbar
15,Färska lasagneplattor
15,Färska lasagneplattor
2 för30,Glass/sorbet
2 för25,Glasögonservetter 20-pack
"(299, ' Kg')",Grillad rostbiff
15,Grissini
"(69, ' Kg')",Grytbitar av fläsk
24,Grädde
10,Gräddfil
99,Guinness World Records
12,Gurka
19,Hårt bröd
74,Högrevsfärs
30,Italiensk hårdost - Grana Padano
30,Italiensk hårdost - Grana Padano
37,Juice/Lemonad/Smoothie
2 för79,Kaffe
2 för36,Kakor
15,Kakor
24,Kall sås
29,Ketchup
"(199, ' Kg')",Kokt skinka
54,Korv
2 för20,Krossade tomater
39,Kyckling Lagat & klart
89,Kycklingbröstfiléer
55,Kycklingnuggets
24,Kycklingspett
30,Kycklingstekkorv
30,Kycklingstekkorv
"(249, ' Kg')",Källarrökt skinka
59,Köttbullar
79,Laddkabel 3A
2 för40,Laktosfri mjölkdryck
"(329, ' Kg')",Lammytterfilé
15,Läsglasögon
2 för32,Läsk
2 för24,Läsk
2 för25,Läsk
21,Lätta
"(129, ' Kg')",Maasdamer
99,Maskindisktabletter
25%rabatt,Matlåda
3 för69,Matpaj
3 för30,Mineral-/kolsyrat vatten
29,Mjukost
2 för179,Mopp och hink
24,Mugg
2 för15,Muslibar
129,Måttkanna
55,Nötfärs Rulle Naturbeteskött
35,Nötkräm
20,Nötter
3 för39,Pan pizza/Piroger
79,Parasiten
26,Pizzakit
24,Plommontomater
25,Potatisbullar
"(89, ' Kg')",Potatissallad
29,Rapsolja
50,Ribs BBQ
3 för30,Risifrutti/Mannafrutti
15,Rostad lök
"(159, ' Kg')",Rostbiff
35,Rårörda lingon
2 för39,Salami
44,Salsicciafärs
"(299, ' Kg')",Serrano
"(299, ' Kg')",Serranoskinka
39,Sittunderlag
80,Skivad ost
44,Skivad ost
2 för25,Smaksatt lätt crème fraiche
39,Smör
22,Smör- och rapsolja
26,Smörgåspålägg
24,Smörgåspålägg
2 för45,Snacks
99,Sockor 8-pack
2 för30,Soppa
109,Stekfläsk
119,Stora räkor med skal
39,Strimlad Fläskytterfilé
79,Strimlad kyckling
59,Strömming
"(129, ' Kg')",Svartrökt bog
2 för49,Tandkräm
3 för35,Tex mex
4 för99,Toalett-/Hushållspapper
99,Torskryggfilé
35,Tortellini
35,Tortellini
119,Tulpaner 15-pack
40,Tvättmedel
17,Utvald potatis i påse
30,Valnötter
3 för25,Vaniljhjärtan
20,Vaniljyoghurt
29,Vattenflaska
29,Vegetariskt
55,Vegofärs
34,Vårrullar
39,Våtservetter 2-pack
25,Wokmix
"(39, ' Kg')",Äpple Pink Lady
5 för55,Ätklar klämmis
19,Ätmogen mango
66,Öl 6-pack
